CODIGO DE LA COMUNA,COMUNA,CODIGO DEL BARRIO,NOMBRE,NOMBRE POPULAR
15,El Oso,11.539,Terranova,Terranova
19,El Poblado,11.911,Villa Del Prado,Villa Del Prado
19,El Poblado,11.91,Villa Del Palmar,Villa Del Palmar
19,El Poblado,11.909,Samaria II,Samaria II
19,El Poblado,11.908,Samaria I,Samaria I
19,El Poblado,11.908,Portal de San Jacinto,Portal de San Jacinto
19,El Poblado,11.907,Rocio Bajo,Rocio Bajo
19,El Poblado,11.906,Poblado II,Poblado II
19,El Poblado,11.905,Poblado I,Poblado I
19,El Poblado,11.904,Hamburgo,Hamburgo
19,El Poblado,11.903,Cachipay,Cachipay
19,El Poblado,11.902,Barajas,Barajas
19,El Poblado,11.901,Balcones de Villa Del Prado,Balcones de Villa Del Prado
18,Del Cafe,11.816,Villa Los Comunales,Villa Los Comunales
18,Del Cafe,11.815,Villa Del Cafe,Villa Del Cafe
18,Del Cafe,11.814,Sector B,Sector B
18,Del Cafe,11.813,Rincon Del Cafe,Rincon Del Cafe
18,Del Cafe,11.812,Paz Verde,Paz Verde
18,Del Cafe,11.811,Nuevo Horizonte,Nuevo Horizonte
18,Del Cafe,11.81,Malaga *1,Malaga *1
18,Del Cafe,11.809,Horizontes,Horizontes
18,Del Cafe,11.808,Ciudadela Comfamiliar Boquia,Ciudadela Comfamiliar Boquia
18,Del Cafe,11.808,Comfamiliar Boquia,Comfamiliar Boquia
18,Del Cafe,11.808,Alameda del Cafe,Alameda del Cafe
18,Del Cafe,11.808,Luis Alberto Duque,Luis Alberto Duque
18,Del Cafe,11.808,Portal de Llano Grande,Portal de Llano Grande
18,Del Cafe,11.807,Ciudad Boquia *1,Ciudad Boquia *1
18,Del Cafe,11.806,Carlos Enrique Soto,Carlos Enrique Soto
18,Del Cafe,11.805,Antonio Ricaurte,Sector B
18,Del Cafe,11.804,Altos de Los Angeles,Altos de Los Angeles
18,Del Cafe,11.803,Altos de Llano Grande II *2,Altos de Llano Grande II *2
18,Del Cafe,11.802,Mirador de Llano Grande,Mirador de Llano Grande
18,Del Cafe,11.801,Alamos Del Cafe,Alamos Del Cafe
17,El Rocio,11.702,Rocio Alto *3,Rocio Alto *3
17,El Rocio,11.701,Caracol La Curva *4,Caracol La Curva *4
16,San Nicolas,11.608,Villa Nohemy,Villa Nohemy
16,San Nicolas,11.607,Villa Mery,Villa Mery
16,San Nicolas,11.606,San Nicolas,San Nicolas
16,San Nicolas,11.605,San Martin de Loba,San Martin de Loba
16,San Nicolas,11.604,Nuevo Mejico,Los Molinos
16,San Nicolas,11.603,Las Antillas,Las Antillas
16,San Nicolas,11.602,La Dulcera,La Dulcera
16,San Nicolas,11.601,Brisas de Las Americas,Brisas de Las Americas
15,El Oso,11.547,Vista Hermosa,Vista Hermosa
15,El Oso,11.546,Villa Navarra,Villa Navarra
