TIPO,AÑO,CIUDAD,INSTITUCION,COMUNA,VEREDA,DIRECCION
CENTRO EDUCATIVO,2.024,PEREIRA,CENTRO EDUCATIVO ENRIQUE MILLAN RUBIO,PUERTO CALDAS,PUERTO CALDAS,ENTRADA A PAPELES NACIONALES
CENTRO EDUCATIVO,2.024,PEREIRA,CENTRO EDUCATIVO ESPERANZA GALICIA,CERRITOS,CERRITOS,VDA ESPERANZA GALICIA
CENTRO EDUCATIVO,2.024,PEREIRA,CENTRO EDUCATIVO MARIA CRISTINA GOMEZ,ALTAGRACIA,ALTAGRACIA,CORREGIMIENTO DE ALTAGRACIA
CENTRO EDUCATIVO,2.024,PEREIRA,CENTRO EDUCATIVO PUERTO CALDAS,PUERTO CALDAS,PUERTO CALDAS,CORREG PUERTO CALDAS BAJO
CENTRO EDUCATIVO,2.024,PEREIRA,CENTRO EDUCATIVO SAN ANTONIO DE PADUA,SAN JOAQUIN,SAN JOAQUIN,AV LAS AMERICAS VIA MERCASA
CENTRO EDUCATIVO,2.024,PEREIRA,CENTRO EDUCATIVO TREINTA DE AGOSTO,CERRITOS,CERRITOS,GALICIA ALTA ENTRADA COMFAMILIAR
INSTITUCION EDUCATIVA,2.024,PEREIRA,COLEGIO SURORIENTAL DE PEREIRA,BOSTON,BOSTON,CL 17 23 B 20
INSTITUCION EDUCATIVA,2.024,PEREIRA,COMPLEJO EDUCATIVO LA JULITA,UNIVERSIDAD,UNIVERSIDAD,CL 14 KR 17 EQ
INSTITUCION EDUCATIVA,2.024,PEREIRA,ESCUELA NORMAL SUPERIOR EL JARDIN - DE RISARALDA,EL JARDIN,EL JARDIN,IND BARRIO EL JADIN II ETAPA
INSTITUCION EDUCATIVA,2.024,PEREIRA,I.E. DIEGO MAYA SALAZAR,POBLADO,POBLADO,KR 34 32 C 35
INSTITUCION EDUCATIVA,2.024,PEREIRA,I.E. HUGO ÁNGEL JARAMILLO,COMUNA DEL CAFÉ,COMUNA DEL CAFÉ,IND COMUNA CAFÉ - PARQUE INDUSTRIAL
INSTITUCION EDUCATIVA,2.024,PEREIRA,IE NUESTRA SEÑORA DE FATIMA,RIO OTUN,RIO OTUN,KR 7 40 65
INSTITUCION EDUCATIVA,2.024,PEREIRA,INSTITUCION EDUCATIVA ALFONSO JARAMILLO GUTIERREZ,SAN JOAQUIN,SAN JOAQUIN,KR 25 77 18
INSTITUCION EDUCATIVA,2.024,PEREIRA,INSTITUCION EDUCATIVA ALFREDO GARCIA,RIO OTUN,RIO OTUN,KR 2 35 A 36
INSTITUCION EDUCATIVA,2.024,PEREIRA,INSTITUCION EDUCATIVA AQUILINO BEDOYA,FERROCARRIL,FERROCARRIL,AV 30 DE AGOSTO 62 59
INSTITUCION EDUCATIVA,2.024,PEREIRA,INSTITUCION EDUCATIVA AUGUSTO ZULUAGA PATIÑO,RIO OTUN,RIO OTUN,CL 34 KR 3 BIS
INSTITUCION EDUCATIVA,2.024,PEREIRA,INSTITUCION EDUCATIVA BOYACA,CENTRO,CENTRO,KR 5 21 03
INSTITUCION EDUCATIVA,2.024,PEREIRA,INSTITUCION EDUCATIVA BYRON GAVIRIA,PERLA DEL OTUN,PERLA DEL OTUN,IND CL 75 CRAS 36 Y 37
INSTITUCION EDUCATIVA,2.024,PEREIRA,INSTITUCION EDUCATIVA CARLOS CASTRO SAAVEDRA,PUERTO CALDAS,PUERTO CALDAS,CORREG PUERTO CALDAS
INSTITUCION EDUCATIVA,2.024,PEREIRA,INSTITUCION EDUCATIVA CARLOS EDUARDO VASCO URIBE,PERLA DEL SUR,PERLA DEL SUR,KM 4 VIA MORELIA
INSTITUCION EDUCATIVA,2.024,PEREIRA,INSTITUCION EDUCATIVA CARLOTA SANCHEZ,RIO OTUN,RIO OTUN,CL 20 3 23
INSTITUCION EDUCATIVA,2.024,PEREIRA,INSTITUCION EDUCATIVA CENTENARIO,VILLAVICENCIO,VILLAVICENCIO,KR 9 4 50
INSTITUCION EDUCATIVA,2.024,PEREIRA,INSTITUCION EDUCATIVA CIUDAD BOQUIA,COMUNA DEL CAFÉ,COMUNA DEL CAFÉ,IND CIUDADELA DEL CAFÉ  SECTOR E
INSTITUCION EDUCATIVA,2.024,PEREIRA,INSTITUCION EDUCATIVA CIUDADELA CUBA,EL OSO,EL OSO,CL 71 KR 28 BR LOS CRISTALES
INSTITUCION EDUCATIVA,2.024,PEREIRA,INSTITUCION EDUCATIVA COMBIA,COMBIA BAJA,COMBIA BAJA,KM 5 VIA MARSELLA CRUCERO DE COMBIA
INSTITUCION EDUCATIVA,2.024,PEREIRA,INSTITUCION EDUCATIVA COMPARTIR LAS BRISAS,VILLA SANTANA,VILLA SANTANA,IND VILLA SANTANA BARRIO LAS BRISAS
INSTITUCION EDUCATIVA,2.024,PEREIRA,INSTITUCION EDUCATIVA COMUNITARIO CERRITOS,CERRITOS,CERRITOS,KM 15  VIA CERRITOS
INSTITUCION EDUCATIVA,2.024,PEREIRA,INSTITUCION EDUCATIVA CREC GUILLERMO HOYOS SALAZAR,COMBIA ALTA,COMBIA ALTA,VDA LA CONVENCION
INSTITUCION EDUCATIVA,2.024,PEREIRA,INSTITUCION EDUCATIVA DEOGRACIAS CARDONA,BOSTON,BOSTON,IND VIA EL POBLADO
INSTITUCION EDUCATIVA,2.024,PEREIRA,INSTITUCION EDUCATIVA EL DORADO,CONSOTA,CONSOTA,MZ 1 CS 1 BR EL DORAD
INSTITUCION EDUCATIVA,2.024,PEREIRA,INSTITUCION EDUCATIVA EL PITAL,COMBIA ALTA,COMBIA ALTA,VDA PITAL
INSTITUCION EDUCATIVA,2.024,PEREIRA,INSTITUCION EDUCATIVA EL RETIRO,MORELIA,MORELIA,VDA. EL RETIRO - CORREG MORELIA
INSTITUCION EDUCATIVA,2.024,PEREIRA,INSTITUCION EDUCATIVA ESCUELA DE LA PALABRA,RIO OTUN,RIO OTUN,IND CRA 3 # 26-17
INSTITUCION EDUCATIVA,2.024,PEREIRA,INSTITUCION EDUCATIVA FRANCISCO DE PAULA SANTANDER,VILLAVICENCIO,VILLAVICENCIO,IND CR 8 N° 9-61
INSTITUCION EDUCATIVA,2.024,PEREIRA,INSTITUCION EDUCATIVA GABRIEL TRUJILLO,CAIMALITO,CAIMALITO,IND CORREG CAIMALITO FRENTE A BODEGAS DE ALMACA
INSTITUCION EDUCATIVA,2.024,PEREIRA,INSTITUCION EDUCATIVA GONZALO MEJIA ECHEVERRY,ALTAGRACIA,ALTAGRACIA,VIA CORREG ALTAGRACIA
INSTITUCION EDUCATIVA,2.024,PEREIRA,INSTITUCION EDUCATIVA HANS DREWS ARANGO,CUBA,CUBA,IND CRA 26 CLL 78 LA LINDA VIA SAN JOAQUIN
INSTITUCION EDUCATIVA,2.024,PEREIRA,INSTITUCION EDUCATIVA HECTOR ANGEL ARCILA,LA FLORIDA,LA FLORIDA,CORREG LA FLORIDA
INSTITUCION EDUCATIVA,2.024,PEREIRA,INSTITUCION EDUCATIVA HERNANDO VELEZ MARULANDA,ORIENTE,ORIENTE,KR 7 2 13
