ANO DE INFORMACIÒN,CODIGO_DANE,INSTITUCION,SEDE,COMUNA,ZONA,NUCLEO,ESTRATO,EDAD,GENERO,DISCAPACIDAD,CAPACIDADES,ETNIA,JORNADA,CARÁCTER,ESPECIALIDAD,GRADO,NIVEL,METODOLOGIA
2025,166001002886,I.E LENINGRADO,I.E LENINGRADO,SAN JOAQUIN,URBANA,2,ESTRATO 1,27,M,No Aplica,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 4 Adultos,Básica Secundaria Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2025,266001005201,I.E CARLOS CASTRO SAAVEDRA,I.E CARLOS CASTRO SAAVEDRA,PUERTO CALDAS,RURAL,6,ESTRATO 2,25,M,No Aplica,NO APLICA,NO APLICA,NOCTURNA,NO APLICA,NO APLICA,Ciclo 4 Adultos,Básica Secundaria Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2025,266001001558,I.E EL RETIRO,I.E EL RETIRO Sede  C.E NUBIOLA ESTRADA DE VINASCO,MORELIA,RURAL,2,ESTRATO 2,32,M,No Aplica,NO APLICA,NO APLICA,NOCTURNA,NO APLICA,NO APLICA,Ciclo 5 Adultos,Media  Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2025,166001000654,I.E LA JULITA,I.E LA JULITA,UNIVERSIDAD,URBANA,3,ESTRATO 1,36,F,No Aplica,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 3 Adultos,Básica Secundaria Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2025,166001000344,I.E SAN FERNANDO,I.E SAN FERNANDO,CUBA,URBANA,8,ESTRATO 1,25,F,No Aplica,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 5 Adultos,Media  Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2025,166001006008,I.E CIUDADELA CUBA,I.E CIUDADELA CUBA,EL OSO,URBANA,8,ESTRATO 1,19,F,No Aplica,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 5 Adultos,Media  Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2025,166001006008,I.E CIUDADELA CUBA,I.E CIUDADELA CUBA,EL OSO,URBANA,8,ESTRATO 1,32,M,Intelectual,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 2 Adultos,Básica Primaria Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2025,266001005201,I.E CARLOS CASTRO SAAVEDRA,I.E CARLOS CASTRO SAAVEDRA,PUERTO CALDAS,RURAL,6,ESTRATO 1,34,M,No Aplica,NO APLICA,NO APLICA,NOCTURNA,NO APLICA,NO APLICA,Ciclo 4 Adultos,Básica Secundaria Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2025,266001002244,I.E GONZALO MEJIA ECHEVERRY,I.E GONZALO MEJIA ECHEVERRY,ALTAGRACIA,RURAL,1,NO APLICA,27,F,No Aplica,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 3 Adultos,Básica Secundaria Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2025,266001002481,I.E COMBIA,I.E COMBIA,COMBIA BAJA,RURAL,5,ESTRATO 2,31,F,No Aplica,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 3 Adultos,Básica Secundaria Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2025,266001002244,I.E GONZALO MEJIA ECHEVERRY,I.E GONZALO MEJIA ECHEVERRY,ALTAGRACIA,RURAL,1,ESTRATO 1,35,F,No Aplica,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 3 Adultos,Básica Secundaria Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2025,166001004641,I.E MANOS UNIDAS,I.E MANOS UNIDAS sede EL REMANSO,VILLA SANTANA,URBANA,7,ESTRATO 1,16,M,No Aplica,NO APLICA,NO APLICA,ÚNICA,NO APLICA,NO APLICA,Octavo,Básica Secundaria,Educación tradicional
2025,366001005540,I.E COMPARTIR LAS BRISAS,I.E COMPARTIR LAS BRISAS,VILLA SANTANA,URBANA,7,ESTRATO 1,31,F,No Aplica,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 5 Adultos,Media  Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2025,366001005540,I.E COMPARTIR LAS BRISAS,I.E COMPARTIR LAS BRISAS,VILLA SANTANA,URBANA,7,ESTRATO 2,30,F,No Aplica,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 5 Adultos,Media  Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2025,166001000786,I.E REMIGIO ANTONIO CAÑARTE,I.E REMIGIO ANTONIO CAÑARTE,POBLADO,URBANA,3,ESTRATO 2,16,M,No Aplica,NO APLICA,NO APLICA,MAÑANA,ACADEMICO,ACADEMICO,Once,Media,Educación tradicional
