Nombre de la institucion educativa,Capacidades Excepcionales,Doble Excepcionalidad,Talento Científico,"Talento en Actividad fisica, Ejercicio y Deporte",Talento en Artes y/o Letras,Talento en Ciencias Naturales Básicas o Tecnologiá,Talento en Ciencias Sociales o Humanas,Talento excepcional en liderazgo social y emprendimiento,Talento excepcional en tecnologia
C.E 30 DE AGOSTO,0,0,0,0,1,0,0,0,0
C.E ESPERANZA GALICIA,0,0,0,3,4,0,0,0,0
I.E ALFONSO JARAMILLO GUTIERREZ,2,0,0,8,19,1,0,0,3
I.E ALFREDO GARCIA,0,0,0,1,9,0,0,0,0
I.E AQUILINO BEDOYA,10,0,0,15,54,9,3,4,5
I.E AUGUSTO ZULUAGA,0,0,0,3,3,1,0,0,1
I.E BYRON GAVIRIA,0,0,0,3,10,0,0,0,1
I.E CARLOS CASTRO SAAVEDRA,0,0,0,0,0,0,1,0,0
I.E CARLOS EDUARDO  VASCO,1,0,0,0,2,0,1,0,0
I.E CARLOTA SANCHEZ,0,0,0,4,5,0,0,0,1
I.E CENTENARIO,0,0,0,0,0,0,2,0,0
I.E CIUDAD BOQUIA,1,0,0,4,5,1,1,1,0
I.E CIUDADELA CUBA,1,0,0,11,38,2,0,1,4
I.E COMBIA,1,0,0,1,0,0,0,0,0
I.E COMPARTIR LAS BRISAS,1,0,0,4,1,0,0,0,1
I.E COMUNITARIO CERRITOS,1,0,0,3,17,0,0,0,0
I.E DEOGRACIAS CARDONA,2,0,0,15,5,0,1,0,0
I.E DIEGO MAYA SALAZAR,0,0,0,2,8,1,0,0,2
I.E EL DORADO,1,0,0,3,2,0,0,0,0
I.E EL PITAL,0,0,0,0,2,0,0,0,0
I.E ESCUELA DE LA PALABRA,1,0,0,1,2,0,0,0,1
I.E FRANCISCO DE PAULA SANTANDER,0,0,0,0,1,0,0,0,0
I.E GABRIEL TRUJILLO,0,0,0,4,0,2,0,0,0
I.E GONZALO MEJIA ECHEVERRY,0,0,0,0,2,0,0,0,0
I.E HANS DREWS ARANGO,1,0,0,3,11,0,0,0,0
I.E HECTOR ANGEL ARCILA,1,0,0,3,2,0,0,8,0
I.E HERNANDO VELEZ MARULANDA,1,0,0,2,11,0,0,0,0
I.E INEM FELIPE PEREZ,0,0,0,4,4,1,0,0,0
I.E INSTITUTO LESTONNAC,0,0,0,0,2,0,0,0,0
I.E JAIME SALAZAR ROBLEDO,0,0,0,2,2,0,0,0,0
I.E JESUS BUENA  ESPERANZA,1,0,0,0,2,0,0,0,0
I.E JESUS MARIA ORMAZA,2,0,0,0,0,1,3,0,2
I.E JORGE ELIECER GAITAN,0,0,0,1,0,0,0,0,0
I.E JOSE ANTONIO GALAN,1,0,0,0,4,0,0,0,2
I.E JUAN XXIII,4,0,0,8,8,0,0,1,0
I.E KENNEDY,7,0,0,18,21,1,1,0,2
I.E LA BELLA,3,0,0,8,21,5,0,0,2
I.E LA BOYACA,0,0,0,4,17,0,0,1,0
I.E LA INMACULADA,3,0,0,3,1,0,0,1,0
I.E LA JULITA,0,0,0,6,5,0,0,0,0
I.E LENINGRADO,0,0,0,1,4,0,0,0,0
I.E LUIS CARLOS GONZALEZ,9,0,0,18,14,29,0,1,1
I.E MANOS UNIDAS,2,0,0,1,1,0,0,0,0
I.E MARIA DOLOROSA,7,0,0,7,12,7,0,2,14
I.E MATECAÑA,0,0,0,1,1,0,0,0,0
I.E MUNDO NUEVO,0,0,0,10,11,0,0,0,0
I.E NORMAL SUPERIOR - EL JARDIN,1,0,0,3,8,3,0,0,2
I.E NUESTRA SEÑORA DE FATIMA,4,0,0,3,9,0,0,0,1
I.E PABLO EMILIO CARDONA,0,0,0,0,3,0,0,0,1
I.E PUERTO CALDAS,0,0,0,0,0,0,0,1,0
I.E RAFAEL URIBE URIBE,6,0,0,3,30,10,0,0,3
I.E REMIGIO ANTONIO CAÑARTE,1,0,0,5,29,1,0,0,1
I.E RODRIGO ARENAS BETANCUR,4,0,0,11,44,1,0,0,4
I.E SALAMANCA,0,0,0,4,5,0,0,0,0
I.E SAN FERNANDO,2,0,0,1,15,1,0,0,0
I.E SAN FRANCISCO DE ASIS,1,0,0,4,15,1,0,0,3
I.E SAN JOAQUIN,0,0,0,0,6,0,0,0,0
I.E SAN NICOLAS,3,0,0,5,9,0,0,0,2
I.E SAN VICENTE HOGAR,0,0,0,4,5,0,0,1,0
I.E SOFIA HERNANDEZ,1,0,0,2,6,0,0,0,0
I.E SUR ORIENTAL,7,0,0,6,10,1,0,7,0
I.E TECNICO SUPERIOR,3,0,0,7,17,0,3,0,4
I.E VILLA SANTANA,2,0,0,2,3,0,1,0,0
