ANO_INF,TIPO,CODIGO_DANE,DANE_ANTERIOR,CONS_SEDE,INSTITUCION,COMUNA,ZONA,NUCLEO,GENERO,VICTIMA,DISCAPACIDAD,CAPACIDADES,ETNIAS,JORNADA,CARÁCTER,ESPECIALIDAD,GRADO,NIVEL,METODOLOGIA
2024,PRIVADO CALENDARIO A,366001007500,366001007500,36600100750001,INSTITUCIÓN EDUCATIVA IDEAS,OLIMPICA,URBANA,8,M,NO,No Aplica,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 4 Adultos,Básica Secundaria Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,466001005871,466001005871,46600100587101,COLEGIO ANGLOAMERICANO,TRIBUNAS,RURAL,1,M,NO,No Aplica,NO APLICA,NO APLICA,COMPLETA,NO APLICA,NO APLICA,Séptimo,Básica Secundaria,Educación tradicional
2024,PRIVADO CALENDARIO A,366001007500,366001007500,36600100750001,INSTITUCIÓN EDUCATIVA IDEAS,OLIMPICA,URBANA,8,M,NO,No Aplica,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 6 Adultos,Media  Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001007500,366001007500,36600100750001,INSTITUCIÓN EDUCATIVA IDEAS,OLIMPICA,URBANA,8,M,NO,No Aplica,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 5 Adultos,Media  Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001007500,366001007500,36600100750001,INSTITUCIÓN EDUCATIVA IDEAS,OLIMPICA,URBANA,8,M,SI,No Aplica,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 4 Adultos,Básica Secundaria Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001007500,366001007500,36600100750001,INSTITUCIÓN EDUCATIVA IDEAS,OLIMPICA,URBANA,8,M,NO,No Aplica,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 6 Adultos,Media  Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001007500,366001007500,36600100750001,INSTITUCIÓN EDUCATIVA IDEAS,OLIMPICA,URBANA,8,M,NO,No Aplica,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 5 Adultos,Media  Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001006741,366001006741,36600100674101,COLEGIO ANGLO COLOMBIANO,CENTRO,URBANA,4,F,NO,No Aplica,NO APLICA,NO APLICA,MAÑANA,NO APLICA,NO APLICA,Ciclo 3 Adultos,Básica Secundaria Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001004896,366001004896,36600100489601,INST. METROPOLITANO DE EDUCACION COMPUTALIZADA IMEC,CENTRO,URBANA,4,M,NO,No Aplica,NO APLICA,NO APLICA,MAÑANA,NO APLICA,NO APLICA,Ciclo 6 Adultos,Media  Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001003318,366001003318,36600100331801,COL SANTA ROSA DE LIMA,CUBA,URBANA,8,M,NO,No Aplica,NO APLICA,NO APLICA,MAÑANA,TÉCNICO,COMERCIAL,Once,Media,Educación tradicional
2024,PRIVADO CALENDARIO A,366001007500,366001007500,36600100750001,INSTITUCIÓN EDUCATIVA IDEAS,OLIMPICA,URBANA,8,M,NO,No Aplica,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 6 Adultos,Media  Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001007500,366001007500,36600100750001,INSTITUCIÓN EDUCATIVA IDEAS,OLIMPICA,URBANA,8,M,NO,No Aplica,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 4 Adultos,Básica Secundaria Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001007500,366001007500,36600100750001,INSTITUCIÓN EDUCATIVA IDEAS,OLIMPICA,URBANA,8,M,NO,No Aplica,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 5 Adultos,Media  Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001007500,366001007500,36600100750001,INSTITUCIÓN EDUCATIVA IDEAS,OLIMPICA,URBANA,8,M,NO,No Aplica,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 5 Adultos,Media  Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001007500,366001007500,36600100750001,INSTITUCIÓN EDUCATIVA IDEAS,OLIMPICA,URBANA,8,M,NO,No Aplica,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 5 Adultos,Media  Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001007500,366001007500,36600100750001,INSTITUCIÓN EDUCATIVA IDEAS,OLIMPICA,URBANA,8,M,NO,No Aplica,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 3 Adultos,Básica Secundaria Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001007500,366001007500,36600100750001,INSTITUCIÓN EDUCATIVA IDEAS,OLIMPICA,URBANA,8,M,NO,No Aplica,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 6 Adultos,Media  Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001007500,366001007500,36600100750001,INSTITUCIÓN EDUCATIVA IDEAS,OLIMPICA,URBANA,8,M,NO,No Aplica,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 6 Adultos,Media  Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001007500,366001007500,36600100750001,INSTITUCIÓN EDUCATIVA IDEAS,OLIMPICA,URBANA,8,M,NO,No Aplica,NO APLICA,NEGRITUDES,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 6 Adultos,Media  Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001007500,366001007500,36600100750001,INSTITUCIÓN EDUCATIVA IDEAS,OLIMPICA,URBANA,8,M,NO,No Aplica,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 3 Adultos,Básica Secundaria Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001007500,366001007500,36600100750001,INSTITUCIÓN EDUCATIVA IDEAS,OLIMPICA,URBANA,8,M,NO,No Aplica,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 6 Adultos,Media  Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001007500,366001007500,36600100750001,INSTITUCIÓN EDUCATIVA IDEAS,OLIMPICA,URBANA,8,M,NO,No Aplica,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 4 Adultos,Básica Secundaria Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
