ZONA,SESIONES ,USUARIOS UNICOS,AÑO
2500_Colegio_BAIRON_Gaviria,34.102,1.255,2022
Alejandria_Monteliban,88.779,1.146,2022
Alta_Gracia_La_Virgen,123.022,3.57,2022
Alta_Gracia_Leon_suarez,67.174,703,2022
Altagracia_La_Cabanita,11.144,205,2022
Alto_Erazo,81.265,698,2022
Av_rio_cll17_Barrio_Zea,63.382,838,2022
Barrio_ALFONSO_lopez,26.654,632,2022
Barrio_America_Av_Rio_14A_50,47.721,582,2022
Barrio_el_Bosque_cll5,24.713,381,2022
Barrio_Naranjito,70.233,721,2022
Barrio_Travesuras,186.518,1.137,2022
Belmonte_Bajo,19.291,240,2022
Bomberos_Caimalito,149.958,3.323,2022
Boston_Florida,48.937,424,2022
Cai_Berlin,81.292,1.936,2022
Cai_PADRE_valencia,30.689,1.145,2022
Calle_19_ Calle_la_Fundacion,50.645,2.492,2022
Cancha_Barrio_Buenos_Aires,110.067,2.44,2022
Cancha_Barrio_el_Dorado,133.297,2.204,2022
Cancha_Barrio_El_Naranjito,12.029,293,2022
Cancha_Colinas_Del_Triunfo,47.37,1.386,2022
Cancha_De_Nacederos,109.746,1.099,2022
Cancha_Gualanday,16.109,650,2022
Cancha_Hernando_Velez,65.257,1.157,2022
Cancha_MatecaÃ±a,98.714,294,2022
Cancha_Perla_del_sur,152.198,3.326,2022
Cancha_Sector_B_Parque_Industrial,182.731,5.267,2022
Cancha_Sintetica_Boston,54.593,1.923,2022
Cancha_Villa_Kenedy,25.905,965,2022
Canchas_el_Cardal,40.435,1.629,2022
Caracol_La_Curva,68.45,395,2022
Caserio_Bella,149.001,1.047,2022
Caseta_Barrio_la_Unidad,22.081,702,2022
Caseta_Barrios_unidos,71.992,1.88,2022
Caseta_COMUNAL_caimalito,349.719,1.995,2022
Caseta_Comunal_Gaviotas,17.883,620,2022
Caseta_comunal_Guayacanes,39.338,839,2022
Centro_Poblado_cancha_Guacari,166.614,658,2022
Cerritos_Campo_Hermoso,37.827,225,2022
Cerro_Canceles,24.195,937,2022
Colegio_Gabriel_TRUJILLO_caimalito,306.759,3.306,2022
Colegio_Ormaza_Cuba,238.761,1.325,2022
Colegio_Rocio_Alto,88.104,902,2022
Colegio_San_Nicolas,142.68,2.574,2022
Corregiduria_La_Estrella,104.623,893,2022
Crucero_Combia,56.708,1.717,2022
Cuchilla_de_los_Castro,41.656,1.046,2022
El Porvenir,2.734,87,2022
El_Acuario,1.201,146,2022
El_Chocho,3.404,218,2022
El_Rosal_Pereira,83.007,826,2022
El_Salado,728,27,2022
Escuela_Esperanza_Galicia,130.807,1.101,2022
Esperanza_Yarumal,6.576,151,2022
Esquina_Presto,3.281,517,2022
EstaciÃ³n_Villegas,4.122,158,2022
Estacion_Megabus_cra_6,23.291,4.287,2022
Gabriel_Trujillo_el_Azufral,90.184,1.304,2022
Galeria_Central_Calle_17_Cra_8,60.615,1.642,2022
Galicia_Cancha,57.292,1.922,2022
Gilberto_Pelaez_Libertad,291.666,1.567,2022
Guacari_Cantamonos,1.768,63,2022
Guayabal_Remanso,77.81,919,2022
Guillermo_Hoyos,13.922,171,2022
Hogar_Comunitario_Tokio,88.758,1.353,2022
Iglesia_Providencia,67.452,3.708,2022
Interior_Gamma_2,23.249,705,2022
La_Bananera_esquina,51.226,838,2022
La_Carbonera_Caimalito,84.019,525,2022
La_Gran_Manzana,324.284,7.769,2022
La_Honda,7.093,86,2022
La_Laguna,61.352,498,2022
La_villa_Skate_Y_piscinas,115.987,3.809,2022
Laguneta_Tribunas,13.913,172,2022
Las_brisas_Mz_25,210.87,3.141,2022
Las_Brisas_MZ_40,140.022,2.168,2022
Las_Colonias,10.831,165,2022
Leningrado_2,38.559,942,2022
Llano_Grande,16.314,739,2022
Minas_Canceles,64.756,358,2022
Morelia_Estacion_Policia,86.146,2.247,2022
