No,CONVENIO,OPERADOR,DEPARTAMENTO,MUNICIPIO,VEREDA,NOMBRE DE LA ZONA WIFI,DIRECCIÓN,TOTAL APS,UBICACIÓN,CAPACIDAD DE USUARIOS PERMITIDOS,VELOCIDAD DE SUBIDA,VELOCIDAD DE DESCARGA,HORARIO,SERVICIOS,GEOREFERENCIACIÓN
1,513,UNE,RISARALDA,PEREIRA,ALTAGRACIA,ALTAGRACIA,PARQUE PRINCIPAL ALTAGRACIA,2,"(4.740152, -75.712668)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.712668 4.740152)
2,513,UNE,RISARALDA,PEREIRA,ALTAGRACIA,CORREGIMIENTO DE ALTAGRACIA,ALTAGRACIA LEON SUAREZ,2,"(4.741060, -75.711979)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.711979 4.74106)
3,3829,UNE,RISARALDA,PEREIRA,ALTAGRACIA,LA CABAÑITA,LA CABAÑITA,1,"(4.738166, -75.711814)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.711814 4.738166)
4,513,UNE,RISARALDA,PEREIRA,ARABIA,ARABIA,PARQUE DE ARABIA,2,"(4.718851, -75.716752)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.716752 4.718851)
5,789,UNE,RISARALDA,PEREIRA,ARABIA,ARABIA,BARRIO ESPERANZA YARUMAL,1,"(4.719361, -75.680722)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.680722 4.719361)
6,513,UNE,RISARALDA,PEREIRA,BOSTON,BOSTON,PARQUE DE BOSTON (CANCHA SINTETICA),2,"(4.800170, -75.696537)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.696537 4.80017)
7,513,UNE,RISARALDA,PEREIRA,BOSTON,CENTRAL,PARQUE DEL BARRIO CENTRAL,2,"(4.795824, -75.694826)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.694826 4.795824)
8,513,UNE,RISARALDA,PEREIRA,BOSTON,LA UNIDAD,BARRIO LA UNIDAD ( CASETA ),2,"(4.793526, -75.698173)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.698173 4.793526)
9,513,UNE,RISARALDA,PEREIRA,BOSTON,LAS GAVIOTAS,CANCHA GAVIOTAS,2,"(4.797481, -75.697613)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.697613 4.797481)
10,513,UNE,RISARALDA,PEREIRA,BOSTON,PARQUE MEJIA ROBLEDO,PARQUE MEJIA ROBLEDO,2,"(4.806175, -75.694282)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.694282 4.806175)
11,513,UNE,RISARALDA,PEREIRA,BOSTON,ZW_LA_LAGUNA,CRA. 22 #24-62 A 24-90,1,"(4.802225, -75.700054)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.700054 4.802225)
12,513,UNE,RISARALDA,PEREIRA,BOSTON,BOSTON FLORIDA,CRA. 24 BIS #21B-2 A 21B-30,2,"(4.800667, -75.698825)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.698825 4.800667)
13,513,UNE,RISARALDA,PEREIRA,CAIMALITO,CAIMALITO,BOMBEROS CAIMALITO,2,"(4.888525, -75.882453)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.882453 4.888525)
14,513,UNE,RISARALDA,PEREIRA,CAIMALITO,CAIMALITO,COLEGIO GABRIEL TRUJILLO CAIMALITO,2,"(4.887646, -75.879849)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.879849 4.887646)
15,513,UNE,RISARALDA,PEREIRA,CAIMALITO,CAIMALITO CENTRO,CASETA COMUNAL CAIMALITO CENTRO,2,"(4.816101, -75.690776)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.690776 4.816101)
16,413,UNE,RISARALDA,PEREIRA,CAIMALITO,GABRIEL TRUJILLO - EL AZUFRAL,CAIMALITO,1,"(4.884712, -75.891133)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.891133 4.884712)
17,513,UNE,RISARALDA,PEREIRA,CAIMALITO,LA CARBONERA,COLEGIO LA CARBONERA,2,"(4.880096, -75.862075)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.862075 4.880096)
